"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Both sexes","59 years","Persons","249","units","0","v466893","1.1.72","546093","","","","0"
"2021","Canada","2016A000011124","Both sexes","59 years","Persons","249","units","0","v466893","1.1.72","541974","","","","0"
"2020","Canada","2016A000011124","Both sexes","60 years","Persons","249","units","0","v466899","1.1.74","537046","","","","0"
"2021","Canada","2016A000011124","Both sexes","60 years","Persons","249","units","0","v466899","1.1.74","543220","","","","0"
"2020","Canada","2016A000011124","Both sexes","61 years","Persons","249","units","0","v466902","1.1.75","523334","","","","0"
"2021","Canada","2016A000011124","Both sexes","61 years","Persons","249","units","0","v466902","1.1.75","534035","","","","0"
"2020","Canada","2016A000011124","Both sexes","62 years","Persons","249","units","0","v466905","1.1.76","515386","","","","0"
"2021","Canada","2016A000011124","Both sexes","62 years","Persons","249","units","0","v466905","1.1.76","520154","","","","0"
"2020","Canada","2016A000011124","Both sexes","63 years","Persons","249","units","0","v466908","1.1.77","501089","","","","0"
"2021","Canada","2016A000011124","Both sexes","63 years","Persons","249","units","0","v466908","1.1.77","512042","","","","0"
"2020","Canada","2016A000011124","Both sexes","64 years","Persons","249","units","0","v466911","1.1.78","484822","","","","0"
"2021","Canada","2016A000011124","Both sexes","64 years","Persons","249","units","0","v466911","1.1.78","497434","","","","0"
"2020","Canada","2016A000011124","Both sexes","65 years","Persons","249","units","0","v466920","1.1.80","475441","","","","0"
"2021","Canada","2016A000011124","Both sexes","65 years","Persons","249","units","0","v466920","1.1.80","480947","","","","0"
"2020","Canada","2016A000011124","Both sexes","66 years","Persons","249","units","0","v466923","1.1.81","453854","","","","0"
"2021","Canada","2016A000011124","Both sexes","66 years","Persons","249","units","0","v466923","1.1.81","471307","","","","0"
"2020","Canada","2016A000011124","Both sexes","67 years","Persons","249","units","0","v466926","1.1.82","430439","","","","0"
"2021","Canada","2016A000011124","Both sexes","67 years","Persons","249","units","0","v466926","1.1.82","449591","","","","0"
"2020","Canada","2016A000011124","Both sexes","68 years","Persons","249","units","0","v466929","1.1.83","410950","","","","0"
"2021","Canada","2016A000011124","Both sexes","68 years","Persons","249","units","0","v466929","1.1.83","425984","","","","0"
"2020","Canada","2016A000011124","Both sexes","69 years","Persons","249","units","0","v466932","1.1.84","398026","","","","0"
"2021","Canada","2016A000011124","Both sexes","69 years","Persons","249","units","0","v466932","1.1.84","406164","","","","0"
"2020","Canada","2016A000011124","Both sexes","70 years","Persons","249","units","0","v28594035","1.1.106","385234","","","","0"
"2021","Canada","2016A000011124","Both sexes","70 years","Persons","249","units","0","v28594035","1.1.106","393129","","","","0"
"2020","Canada","2016A000011124","Both sexes","71 years","Persons","249","units","0","v28594036","1.1.107","372878","","","","0"
"2021","Canada","2016A000011124","Both sexes","71 years","Persons","249","units","0","v28594036","1.1.107","379755","","","","0"
"2020","Canada","2016A000011124","Both sexes","72 years","Persons","249","units","0","v28594037","1.1.108","367399","","","","0"
"2021","Canada","2016A000011124","Both sexes","72 years","Persons","249","units","0","v28594037","1.1.108","367032","","","","0"
"2020","Canada","2016A000011124","Both sexes","73 years","Persons","249","units","0","v28594038","1.1.109","359484","","","","0"
"2021","Canada","2016A000011124","Both sexes","73 years","Persons","249","units","0","v28594038","1.1.109","361095","","","","0"
"2020","Canada","2016A000011124","Both sexes","74 years","Persons","249","units","0","v28594039","1.1.110","303129","","","","0"
"2021","Canada","2016A000011124","Both sexes","74 years","Persons","249","units","0","v28594039","1.1.110","352525","","","","0"
"2020","Canada","2016A000011124","Both sexes","75 years","Persons","249","units","0","v28594040","1.1.111","277141","","","","0"
"2021","Canada","2016A000011124","Both sexes","75 years","Persons","249","units","0","v28594040","1.1.111","296543","","","","0"
"2020","Canada","2016A000011124","Both sexes","76 years","Persons","249","units","0","v28594041","1.1.112","263656","","","","0"
"2021","Canada","2016A000011124","Both sexes","76 years","Persons","249","units","0","v28594041","1.1.112","270610","","","","0"
"2020","Canada","2016A000011124","Both sexes","77 years","Persons","249","units","0","v28594042","1.1.113","247015","","","","0"
"2021","Canada","2016A000011124","Both sexes","77 years","Persons","249","units","0","v28594042","1.1.113","256640","","","","0"
"2020","Canada","2016A000011124","Both sexes","78 years","Persons","249","units","0","v28594043","1.1.114","224275","","","","0"
"2021","Canada","2016A000011124","Both sexes","78 years","Persons","249","units","0","v28594043","1.1.114","239799","","","","0"
"2020","Canada","2016A000011124","Both sexes","79 years","Persons","249","units","0","v28594044","1.1.115","207822","","","","0"
"2021","Canada","2016A000011124","Both sexes","79 years","Persons","249","units","0","v28594044","1.1.115","216951","","","","0"
"2020","Canada","2016A000011124","Both sexes","80 years","Persons","249","units","0","v28594045","1.1.116","189224","","","","0"
"2021","Canada","2016A000011124","Both sexes","80 years","Persons","249","units","0","v28594045","1.1.116","200204","","","","0"
"2020","Canada","2016A000011124","Both sexes","81 years","Persons","249","units","0","v28594046","1.1.117","175782","","","","0"
"2021","Canada","2016A000011124","Both sexes","81 years","Persons","249","units","0","v28594046","1.1.117","181728","","","","0"
"2020","Canada","2016A000011124","Both sexes","82 years","Persons","249","units","0","v28594047","1.1.118","161965","","","","0"
"2021","Canada","2016A000011124","Both sexes","82 years","Persons","249","units","0","v28594047","1.1.118","167779","","","","0"
"2020","Canada","2016A000011124","Both sexes","83 years","Persons","249","units","0","v28594048","1.1.119","147399","","","","0"
"2021","Canada","2016A000011124","Both sexes","83 years","Persons","249","units","0","v28594048","1.1.119","153707","","","","0"
"2020","Canada","2016A000011124","Both sexes","84 years","Persons","249","units","0","v28594049","1.1.120","138243","","","","0"
"2021","Canada","2016A000011124","Both sexes","84 years","Persons","249","units","0","v28594049","1.1.120","138870","","","","0"
"2020","Canada","2016A000011124","Both sexes","85 years","Persons","249","units","0","v28594050","1.1.121","124752","","","","0"
"2021","Canada","2016A000011124","Both sexes","85 years","Persons","249","units","0","v28594050","1.1.121","129321","","","","0"
"2020","Canada","2016A000011124","Both sexes","86 years","Persons","249","units","0","v28594051","1.1.122","113062","","","","0"
"2021","Canada","2016A000011124","Both sexes","86 years","Persons","249","units","0","v28594051","1.1.122","115177","","","","0"
"2020","Canada","2016A000011124","Both sexes","87 years","Persons","249","units","0","v28594052","1.1.123","104507","","","","0"
"2021","Canada","2016A000011124","Both sexes","87 years","Persons","249","units","0","v28594052","1.1.123","103266","","","","0"
"2020","Canada","2016A000011124","Both sexes","88 years","Persons","249","units","0","v28594053","1.1.124","93646","","","","0"
"2021","Canada","2016A000011124","Both sexes","88 years","Persons","249","units","0","v28594053","1.1.124","94194","","","","0"
"2020","Canada","2016A000011124","Both sexes","89 years","Persons","249","units","0","v28594054","1.1.125","83478","","","","0"
"2021","Canada","2016A000011124","Both sexes","89 years","Persons","249","units","0","v28594054","1.1.125","83218","","","","0"
"2020","Canada","2016A000011124","Both sexes","90 years","Persons","249","units","0","v31226525","1.1.127","70603","","","","0"
"2021","Canada","2016A000011124","Both sexes","90 years","Persons","249","units","0","v31226525","1.1.127","73260","","","","0"
"2020","Canada","2016A000011124","Both sexes","91 years","Persons","249","units","0","v31226526","1.1.128","58269","","","","0"
"2021","Canada","2016A000011124","Both sexes","91 years","Persons","249","units","0","v31226526","1.1.128","60746","","","","0"
"2020","Canada","2016A000011124","Both sexes","92 years","Persons","249","units","0","v31226527","1.1.129","49400","","","","0"
"2021","Canada","2016A000011124","Both sexes","92 years","Persons","249","units","0","v31226527","1.1.129","49290","","","","0"
"2020","Canada","2016A000011124","Both sexes","93 years","Persons","249","units","0","v31226528","1.1.130","39668","","","","0"
"2021","Canada","2016A000011124","Both sexes","93 years","Persons","249","units","0","v31226528","1.1.130","41020","","","","0"
"2020","Canada","2016A000011124","Both sexes","94 years","Persons","249","units","0","v31226529","1.1.131","31921","","","","0"
"2021","Canada","2016A000011124","Both sexes","94 years","Persons","249","units","0","v31226529","1.1.131","32236","","","","0"
"2020","Canada","2016A000011124","Both sexes","95 years","Persons","249","units","0","v31226531","1.1.133","25053","","","","0"
"2021","Canada","2016A000011124","Both sexes","95 years","Persons","249","units","0","v31226531","1.1.133","25417","","","","0"
"2020","Canada","2016A000011124","Both sexes","96 years","Persons","249","units","0","v31226532","1.1.134","19338","","","","0"
"2021","Canada","2016A000011124","Both sexes","96 years","Persons","249","units","0","v31226532","1.1.134","19461","","","","0"
"2020","Canada","2016A000011124","Both sexes","97 years","Persons","249","units","0","v31226533","1.1.135","13898","","","","0"
"2021","Canada","2016A000011124","Both sexes","97 years","Persons","249","units","0","v31226533","1.1.135","14669","","","","0"
"2020","Canada","2016A000011124","Both sexes","98 years","Persons","249","units","0","v31226534","1.1.136","9867","","","","0"
"2021","Canada","2016A000011124","Both sexes","98 years","Persons","249","units","0","v31226534","1.1.136","10272","","","","0"
"2020","Canada","2016A000011124","Both sexes","99 years","Persons","249","units","0","v31226535","1.1.137","6962","","","","0"
"2021","Canada","2016A000011124","Both sexes","99 years","Persons","249","units","0","v31226535","1.1.137","7063","","","","0"
"2020","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","11722","","","","0"
"2021","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","12822","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","0 years","Persons","249","units","0","v467034","2.1.2","3676","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","0 years","Persons","249","units","0","v467034","2.1.2","3543","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","1 year","Persons","249","units","0","v467067","2.1.3","3866","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","1 year","Persons","249","units","0","v467067","2.1.3","3708","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","2 years","Persons","249","units","0","v467100","2.1.4","3982","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","2 years","Persons","249","units","0","v467100","2.1.4","3902","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","3 years","Persons","249","units","0","v467133","2.1.5","4368","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","3 years","Persons","249","units","0","v467133","2.1.5","4009","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","4 years","Persons","249","units","0","v467166","2.1.6","4459","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","4 years","Persons","249","units","0","v467166","2.1.6","4394","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","5 years","Persons","249","units","0","v467232","2.1.8","4460","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","5 years","Persons","249","units","0","v467232","2.1.8","4489","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","6 years","Persons","249","units","0","v467265","2.1.9","4710","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","6 years","Persons","249","units","0","v467265","2.1.9","4489","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","7 years","Persons","249","units","0","v466986","2.1.10","4555","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","7 years","Persons","249","units","0","v466986","2.1.10","4739","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","8 years","Persons","249","units","0","v467007","2.1.11","4654","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","8 years","Persons","249","units","0","v467007","2.1.11","4573","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","9 years","Persons","249","units","0","v467010","2.1.12","4970","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","9 years","Persons","249","units","0","v467010","2.1.12","4674","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","10 years","Persons","249","units","0","v467016","2.1.14","5257","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","10 years","Persons","249","units","0","v467016","2.1.14","4998","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","11 years","Persons","249","units","0","v467019","2.1.15","5283","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","11 years","Persons","249","units","0","v467019","2.1.15","5275","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","12 years","Persons","249","units","0","v467022","2.1.16","5275","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","12 years","Persons","249","units","0","v467022","2.1.16","5308","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","13 years","Persons","249","units","0","v467025","2.1.17","5160","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","13 years","Persons","249","units","0","v467025","2.1.17","5296","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","14 years","Persons","249","units","0","v467028","2.1.18","5195","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","14 years","Persons","249","units","0","v467028","2.1.18","5173","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","15 years","Persons","249","units","0","v467037","2.1.20","5149","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","15 years","Persons","249","units","0","v467037","2.1.20","5212","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","16 years","Persons","249","units","0","v467040","2.1.21","5310","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","16 years","Persons","249","units","0","v467040","2.1.21","5160","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","17 years","Persons","249","units","0","v467043","2.1.22","5358","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","17 years","Persons","249","units","0","v467043","2.1.22","5303","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","18 years","Persons","249","units","0","v467046","2.1.23","5515","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","18 years","Persons","249","units","0","v467046","2.1.23","5360","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","19 years","Persons","249","units","0","v467049","2.1.24","5643","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Both sexes","19 years","Persons","249","units","0","v467049","2.1.24","5532","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","20 years","Persons","249","units","0","v467055","2.1.26","5962","","","","0"
